park_name,acres,latitude,longitude,state_long,meters_sq,count_mammal,count_bird,count_reptile,count_amphibian,count_fish,count_insect,count_arachnid,count_gastropod,count_shellfish,count_other,count_vascular,count_nonvascular,count_algae,count_fungi,count_animals,count_vert,count_invert,count_plants,animals_native_total,animals_native_percent,animals_endanger,rank_mammal,rank_bird,rank_reptile,rank_amphibian,rank_fish
Parque nacional Acadia,47390,44.35,-68.21,Maine,191780695.4,55,364,11,15,38,0,0,0,0,0,1226,0,0,0,483,483,0,1226,304,62.9,4,30,8,23,12,21
Parque nacional de los Arcos,76519,38.68,-109.57,Utah,309661680.3,59,205,20,8,11,0,0,0,0,0,745,0,0,0,303,303,0,745,288,95,3,27,39,20,17,38
Parque nacional Badlands,242756,43.75,-102.5,South Dakota,982399546.2,64,239,13,10,24,239,1,0,0,1,625,0,0,173,591,350,241,625,325,55,3,23,27,21,15,27
Parque nacional Big Bend,801163,29.25,-103.25,Texas,3242194498,89,415,62,13,53,0,0,0,0,0,1589,48,0,0,632,632,0,1637,602,95.3,9,10,4,3,13,17
Parque nacional Biscayne,172924,25.65,-80.08,Florida,699799218.6,28,233,40,8,818,11,0,0,0,34,554,0,0,0,1172,1127,45,554,384,32.8,18,40,31,11,17,1
Parque nacional Cañón Negro del Gunnison,32950,38.57,-107.72,Colorado,133344037,67,175,11,2,16,0,0,0,0,0,835,0,0,0,271,271,0,835,257,94.8,3,21,44,23,23,33
Parque nacional del Cañón Bryce,35835,37.57,-112.18,Utah,145019228.1,76,217,13,4,1,0,0,0,0,0,975,0,0,0,311,311,0,975,303,97.4,3,16,36,21,21,46
Parque nacional Tierra de Cañones,337598,38.2,-109.93,Utah,1366211842,76,220,22,7,33,0,0,0,0,0,865,0,0,0,358,358,0,865,329,91.9,9,16,35,18,18,22
Parque nacional Capitol Reef,241904,38.2,-111.17,Utah,978951621.4,73,248,21,6,15,0,0,0,0,0,1203,0,0,0,363,363,0,1203,346,95.3,5,18,22,19,19,34
Parque nacional de las Cavernas de Carlsbad,46766,32.17,-104.44,New Mexico,189255454.8,92,367,62,15,5,0,0,0,0,0,995,0,0,0,541,541,0,995,516,95.4,5,9,7,3,12,43
Parque nacional Islas del Canal,249561,34.01,-119.42,California,1009938428,44,357,11,4,273,2,1,33,11,196,824,68,61,122,932,689,243,892,907,97.3,17,35,9,23,21,5
Parque nacional Congaree,26546,33.78,-80.78,South Carolina,107427945.6,39,200,50,43,65,617,21,21,6,15,884,7,74,427,1077,397,680,891,374,34.7,5,38,40,9,3,13
Parque nacional del Lago del Cráter,183224,42.94,-122.1,Oregon,741481876.6,96,252,20,20,13,994,17,9,40,68,1628,193,218,628,1529,401,1128,1821,351,23,6,7,21,20,9,36
